,"ï»¿""STATISTIC""",Statistic Label,Year,UNIT,VALUE
427,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",1986,"Rate per 100,000 Pop.",853.5
428,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",1987,"Rate per 100,000 Pop.",809.0
429,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",1988,"Rate per 100,000 Pop.",825.6
430,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",1989,"Rate per 100,000 Pop.",769.6
431,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",1990,"Rate per 100,000 Pop.",784.2
432,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",1991,"Rate per 100,000 Pop.",788.4
433,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",1992,"Rate per 100,000 Pop.",766.8
434,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",1993,"Rate per 100,000 Pop.",762.7
435,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",1994,"Rate per 100,000 Pop.",753.7
436,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",1995,"Rate per 100,000 Pop.",749.9
437,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",1996,"Rate per 100,000 Pop.",756.0
438,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",1997,"Rate per 100,000 Pop.",716.6
439,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",1998,"Rate per 100,000 Pop.",696.0
440,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",1999,"Rate per 100,000 Pop.",691.2
441,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",2000,"Rate per 100,000 Pop.",669.6
442,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",2001,"Rate per 100,000 Pop.",674.2
443,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",2002,"Rate per 100,000 Pop.",653.0
444,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",2003,"Rate per 100,000 Pop.",587.9
445,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",2004,"Rate per 100,000 Pop.",571.8
446,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",2005,"Rate per 100,000 Pop.",542.6
447,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",2006,"Rate per 100,000 Pop.",478.5
448,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",2007,"Rate per 100,000 Pop.",489.9
449,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",2008,"Rate per 100,000 Pop.",489.5
450,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",2009,"Rate per 100,000 Pop.",476.3
451,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",2010,"Rate per 100,000 Pop.",462.7
452,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",2011,"Rate per 100,000 Pop.",413.9
453,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",2012,"Rate per 100,000 Pop.",396.1
454,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",2013,"Rate per 100,000 Pop.",402.3
455,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",2014,"Rate per 100,000 Pop.",387.9
456,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",2015,"Rate per 100,000 Pop.",389.3
457,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",2016,"Rate per 100,000 Pop.",376.8
458,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",2017,"Rate per 100,000 Pop.",351.6
459,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",2018,"Rate per 100,000 Pop.",357.0
460,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",2019,"Rate per 100,000 Pop.",350.9
461,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",2020,"Rate per 100,000 Pop.",323.2
462,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",2021,"Rate per 100,000 Pop.",330.2
463,HRA01C8,"All Admissions (Rate per 100,000 Pop.)",2022,"Rate per 100,000 Pop.",331.6
